Year,Pounds,Event
1260,4.41,"Mar 1st Hulagu Khan, grandson of Genghis, conquerors Damascus
May 5th Kublai Khan, grandson of Genghis Khan, becomes ruler of the Mongol Empire.
May 21st Kublai Khan of the Mongol Empire sends his envoy Hao Jing and two other advisors to the Song Dynasty court of Emperor Lizong of Song; while attempting to negotiate with the Song in order to resolve their conflict, Hao Jing and his fellow emissaries are imprisoned by order of the high Chancellor of China, Jia Sidao.
Sep 3rd Battle of Ain Djaloet, Palestine defeats Mongols army
Sep 4th Battle at Montaperti, Tuscany, between rival factions the Guelphs and Ghibellines
Oct 24th Saif ad-Din Qutuz, third Mamluk sultan of Egypt, is assassinated by Baibars, by a fellow Mamluk leader, who seizes power for himself.
Oct 24th The spectacular Cathedral of Chartres is dedicated in the presence of King Louis IX of France; the cathedral is now a UNESCO World Heritage Site."
1261,4.63,"Jul 25th Constantinople recaptured by Nicaean forces under Alexios Strategopoulos for Emperor Michael VIII, re-establishing Byzantine Empire.
Aug 29th Jacques Pantaleon elected as Pope Urban IV
Dec 25th John IV Lascaris of the restored Eastern Roman Empire is deposed and blinded by orders of his co-ruler Michael VIII Palaeologus.
"
1262,4.38,"Jan 28th Flemish/Dutch coast ravaged by north westerly storm
"
1263,4.52,"Aug 19th King James I of Aragon censors Hebrew writing
Oct 2nd The battle of Largs fought between Norwegians and Scots."
1264,4.42,"May 14th Battle of Lewes, 2nd Barons' War: Simon de Montfort the younger, Earl of Leicester, defeats English King Henry III
Jun 18th The Parliament of Ireland meets at Castledermot in County Kildare, the first definitively known meeting of this Irish legislature.
Aug 5th Anti-Jewish riots break out in Arnstadt Germany
Sep 8th The Statute of Kalisz, guaranteeing Jews safety and personal liberties and giving battei din jurisdiction over Jewish matters, is promulgated by Boleslaus the Pious, Duke of Greater Poland.
Oct 3rd Comet said to predict death of Pope Urban IV is last seen"
1265,4.64,"Jan 20th The first Parliament of England summoned other than by royal command (in this instance by Simon de Montfort, Earl of Leicester) met in Westminster Hall
Jan 23rd 1st English Parliament not summoned by the monarch formally convened (some authorities)
Aug 4th Battle of Evesham: English prince Edward beats Simon de Montfort the younger
Share On Facebook
 
"
1266,4.44,Feb 26th Battle of Benevento fought in Southern Italy between Manfred of Sicily and army of Charles of Anjou
1267,5.15,"Feb 9th Synod of Breslau orders Jews of Silesia to wear special caps
May 10th Vienna's church orders all Jews to wear a distinctive garb
Jul 26th Inquistion forms in Rome under pope Clement IV
Sep 1st Rabbi Moses Ben Nachman establishes a Jewish community in Jerusalem
Oct 18th Battle at Marienholz: Henry III, Otto II van Gelre beat Keuls archbishop Engelbert III
Share On Facebook
 
"
1268,5.23,"Feb 18th The Livonian Brothers of the Sword are defeated by Dovmont of Pskov in the Battle of Rakovor.
May 18th The Principality of Antioch, a crusader state, falls to the Mamluk Sultan Baibars in the Battle of Antioch.
Oct 29th Conradin, the last legitimate male heir of the Hohenstaufen dynasty of Kings of Germany and Holy Roman Emperors, is executed along with his companion Frederick I, Margrave of Baden by Charles I of Sicily, a political rival and ally to the hostile Roman Catholic church."
1269,4.42,"Jun 19th King Louis IX of Frances decrees all Jews must wear a badge of shame
"
1270,4.71,"Oct 30th The Eighth Crusade and siege of Tunis ended by agreement between Charles I of Sicily (brother to King Louis IX of France, who had died months earlier) and the sultan of Tunis.
Share On Facebook
 
"
1271,3.76,"Dec 18th Kublai Khan renames his empire ""Yuan"" (? yuán), officially marking the start of the Yuan Dynasty of China."
1272,2.8,"Nov 20th Edward I proclaimed King of England
Nov 21st Following Henry III of England's death on November 16, his son Prince Edward becomes King of England."
1273,3.76,"Oct 1st Earl Rudolf van Habsburg becomes Roman Catholic-German king
"
1274,3.91,
1275,3.68,
1276,3.83,
1277,3.71,
1278,3.61,
1279,3.91,
1280,3.91,
1281,3.98,
1282,3.54,
1283,3.32,
1284,3.1,
1285,4.42,
1286,4.05,
1287,4.05,
1288,5.08,
1289,5.31,
1290,4.64,
1291,3.46,
1292,3.83,
1293,3.98,
1294,3.32,
1295,2.8,
1296,3.54,
1297,3.98,
1298,3.46,
1299,3.83,
1300,3.24,
1301,4.29,
1302,4.28,
1303,4.65,
1304,4.57,
1305,4.42,
1306,4.27,
1307,4.57,
1308,4.05,
1309,3.76,
1310,3.47,
1311,3.98,
1312,4.57,
1313,4.86,
1314,4.42,
1315,3.76,
1316,2.28,
1317,2.28,
1318,3.24,
1319,4.13,
1320,4.64,
1321,4.05,
1322,3.54,
1323,3.02,
1324,3.61,
1325,3.91,
1326,3.98,
1327,5.16,
1328,5.16,
1329,4.13,
1330,4.13,
1331,3.68,
1332,3.76,
1333,4.42,
1334,5.01,
1335,5.16,
1336,4.86,
1337,4.42,
1338,5.29,
1339,5.18,
1340,3.83,
1341,4.27,
