Timestamp, Tweet-ID, Included(Y/N),Count
Fri Nov 01 07:00:00 2013,3.96179E+17,Y,1
Fri Nov 01 08:00:00 2013,,,0
Fri Nov 01 09:00:00 2013,3.96205E+17,Y,1
Fri Nov 01 10:00:00 2013,,,0
Fri Nov 01 11:00:00 2013,,,0
Fri Nov 01 12:00:00 2013,3.96252E+17,Y,1
Fri Nov 01 13:00:00 2013,3.96263E+17,Y,2
Fri Nov 01 14:00:00 2013,,,0
Fri Nov 01 15:00:00 2013,3.96303E+17,Y,1
Fri Nov 01 16:27:12 +0000 2013,3.96312E+17,Y,110
Fri Nov 01 17:00:05 +0000 2013,3.96321E+17,Y,446
Fri Nov 01 18:00:08 +0000 2013,3.96336E+17,Y,403
Fri Nov 01 19:00:04 +0000 2013,3.96351E+17,Y,235
Fri Nov 01 20:00:00 +0000 2013,3.96366E+17,Y,162
Fri Nov 01 21:00:08 +0000 2013,3.96381E+17,Y,134
Fri Nov 01 22:00:23 +0000 2013,3.96396E+17,Y,104
Fri Nov 01 23:00:45 +0000 2013,3.96412E+17,Y,53
Sat Nov 02 00:00:35 +0000 2013,3.96427E+17,Y,59
Sat Nov 02 01:03:29 +0000 2013,3.96442E+17,Y,41
Sat Nov 02 02:00:05 +0000 2013,3.96457E+17,Y,35
Sat Nov 02 03:03:28 +0000 2013,3.96473E+17,Y,24
Sat Nov 02 04:00:12 +0000 2013,3.96487E+17,Y,19
Sat Nov 02 05:01:29 +0000 2013,3.96502E+17,Y,11
Sat Nov 02 06:07:44 +0000 2013,3.96519E+17,Y,8
Sat Nov 02 07:01:38 +0000 2013,3.96533E+17,Y,13
Sat Nov 02 08:03:33 +0000 2013,3.96548E+17,Y,12
Sat Nov 02 09:01:16 +0000 2013,3.96563E+17,Y,12
Sat Nov 02 10:06:44 +0000 2013,3.96579E+17,Y,18
Sat Nov 02 11:02:59 +0000 2013,3.96593E+17,Y,18
Sat Nov 02 12:00:37 +0000 2013,3.96608E+17,Y,
Sat Nov 02 12:01:44 +0000 2013,3.96608E+17,Y,
Sat Nov 02 12:04:24 +0000 2013,3.96609E+17,Y,
Sat Nov 02 12:05:36 +0000 2013,3.96609E+17,Y,
Sat Nov 02 12:09:44 +0000 2013,3.9661E+17,Y,
Sat Nov 02 12:13:52 +0000 2013,3.96611E+17,Y,
Sat Nov 02 12:14:15 +0000 2013,3.96611E+17,Y,
Sat Nov 02 12:16:49 +0000 2013,3.96612E+17,Y,
Sat Nov 02 12:17:04 +0000 2013,3.96612E+17,Y,
Sat Nov 02 12:22:12 +0000 2013,3.96613E+17,Y,
Sat Nov 02 12:24:27 +0000 2013,3.96614E+17,Y,
Sat Nov 02 12:26:59 +0000 2013,3.96614E+17,Y,
Sat Nov 02 12:27:27 +0000 2013,3.96615E+17,Y,
Sat Nov 02 12:28:10 +0000 2013,3.96615E+17,Y,
Sat Nov 02 12:31:24 +0000 2013,3.96616E+17,Y,
Sat Nov 02 12:31:36 +0000 2013,3.96616E+17,Y,
Sat Nov 02 12:33:25 +0000 2013,3.96616E+17,Y,
Sat Nov 02 12:35:12 +0000 2013,3.96616E+17,Y,
Sat Nov 02 12:35:25 +0000 2013,3.96617E+17,Y,
Sat Nov 02 12:39:37 +0000 2013,3.96618E+17,Y,
Sat Nov 02 12:48:30 +0000 2013,3.9662E+17,Y,
Sat Nov 02 12:54:47 +0000 2013,3.96621E+17,Y,
Sat Nov 02 12:57:36 +0000 2013,3.96622E+17,Y,
Sat Nov 02 12:58:49 +0000 2013,3.96622E+17,Y,
Sat Nov 02 13:07:45 +0000 2013,3.96625E+17,Y,
Sat Nov 02 13:12:41 +0000 2013,3.96626E+17,Y,
Sat Nov 02 13:12:49 +0000 2013,3.96626E+17,Y,
Sat Nov 02 13:14:08 +0000 2013,3.96626E+17,Y,
Sat Nov 02 13:15:48 +0000 2013,3.96627E+17,Y,
Sat Nov 02 13:16:59 +0000 2013,3.96627E+17,Y,
Sat Nov 02 13:27:16 +0000 2013,3.9663E+17,Y,
Sat Nov 02 13:33:52 +0000 2013,3.96631E+17,Y,
Sat Nov 02 13:37:34 +0000 2013,3.96632E+17,Y,
Sat Nov 02 13:42:41 +0000 2013,3.96633E+17,Y,
Sat Nov 02 13:43:36 +0000 2013,3.96634E+17,Y,
Sat Nov 02 13:44:51 +0000 2013,3.96634E+17,Y,
Sat Nov 02 13:50:59 +0000 2013,3.96636E+17,Y,
Sat Nov 02 13:52:04 +0000 2013,3.96636E+17,Y,
Sat Nov 02 13:55:51 +0000 2013,3.96637E+17,Y,
Sat Nov 02 13:58:00 +0000 2013,3.96637E+17,Y,
Sat Nov 02 14:01:00 +0000 2013,3.96638E+17,Y,
Sat Nov 02 14:06:27 +0000 2013,3.96639E+17,Y,
Sat Nov 02 14:09:25 +0000 2013,3.9664E+17,Y,
Sat Nov 02 14:12:14 +0000 2013,3.96641E+17,Y,
Sat Nov 02 14:21:06 +0000 2013,3.96643E+17,Y,
